sector,start_utc,stop_utc,mid_utc,mid_tjd,freq_cyc/day,
1,2018-07-25,2018-08-21,2018-08-08,1338.5,0.0694658534943445,
2,2018-08-21,2018-09-18,2018-09-04,1367.5,0.0700731420380105,29
3,2018-09-18,2018-10-15,2018-10-01,1395.5,0.071323854103849,28
4,2018-10-15,2018-11-12,2018-10-29,1423.5,0.0728391422870568,28
5,2018-11-12,2018-12-09,2018-11-25,1450.5,0.0744202146071305,27
6,2018-12-09,2019-01-05,2018-12-23,1477,0.0757105326026983,26.5
7,2019-01-05,2019-02-02,2019-01-19,1503.5,0.0766773162921045,26.5
8,2019-02-02,2019-03-01,2019-02-15,1529,0.077171215882754,25.5
9,2019-03-01,2019-03-29,2019-03-15,1555,0.0761912440538351,26
10,2019-03-29,2019-04-25,2019-04-11,1582,0.0733972410567951,27
11,2019-04-25,2019-05-22,2019-05-09,1610,0.070381836944531,28
12,2019-05-22,2019-06-19,2019-06-05,1638.5,0.0690648911862737,28.5
13,2019-06-19,2019-07-16,2019-07-02,1667.5,0.0693641618482173,29
14,2019-07-16,2019-08-13,2019-07-30,1696,0.0711112671852322,28.5
15,2019-08-13,2019-09-09,2019-08-26,1723.5,0.073619631903523,27.5
16,2019-09-09,2019-10-06,2019-09-23,1750.5,0.0760699216386465,27
17,2019-10-06,2019-11-03,2019-10-20,1777,0.0777959904182921,26.5
18,2019-11-03,2019-11-30,2019-11-16,1802.5,0.078048986843769,25.5
19,2019-11-30,2019-12-28,2019-12-14,1828,0.0758341153684319,25.5
20,2019-12-28,2020-01-24,2020-01-10,1855,0.0719719449681904,27
21,2020-01-24,2020-02-20,2020-02-07,1883.5,0.0692642134896927,28.5
22,2020-02-20,2020-03-19,2020-03-05,1912,0.0693647412612362,28.5
23,2020-03-19,2020-04-15,2020-04-01,1941,0.0710059171589807,29
24,2020-04-15,2020-05-13,2020-04-29,1968.5,0.0730595299873921,27.5
25,2020-05-13,2020-06-09,2020-05-26,1996,0.0753534039146593,27.5
26,2020-06-09,2020-07-06,2020-06-23,2022,0.0768001966103285,26
27,2020-07-06,2020-08-03,2020-07-20,2048,0.0771704180055065,26
28,2020-08-03,2020-08-30,2020-08-16,2074,0.0757105326000122,26
29,2020-08-30,2020-09-27,2020-09-13,2100.5,0.0729483282691292,26.5
30,2020-09-23,2020-10-20,2020-10-06,2129,0.0686091576223029,28.5
31,2020-10-22,2020-11-18,2020-11-04,2158,0.0665620096559234,29
32,2020-11-19,2020-12-16,2020-12-02,2186,0.0718207925729005,28
33,2020-12-18,2021-01-13,2020-12-31,2214.5,0.0766619777745277,28.5
34,2021-01-14,2021-02-08,2021-01-26,2241,0.0777020897932899,26.5
35,2021-02-09,2021-03-06,2021-02-21,2267,0.0745559494023041,26
36,2021-03-07,2021-04-01,2021-03-19,2293,0.0757590120774989,26
37,2021-04-02,2021-04-28,2021-04-15,2319.5,0.0738828224959987,26.5
